cod,sigla,nome,descricao
1,,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,
2,,"LOCOMOÇÃO, ALIMENTAÇÃO E  HOSPEDAGEM",
3,,COMBUSTÍVEIS E LUBRIFICANTES.,
4,,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",
5,,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,
6,,AQUISIÇÃO DE MATERIAL DE ESCRITÓRIO.,
7,,AQUISIÇÃO OU LOC. DE SOFTWARE; SERV. POSTAIS; ASS.,
8,,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,
9,,PASSAGEM AÉREA - REEMBOLSO,
10,,TELEFONIA,
11,,SERVIÇOS POSTAIS,
12,,ASSINATURA DE PUBLICAÇÕES,
13,,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,
14,,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",
15,,LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES ,
119,,LOCAÇÃO OU FRETAMENTO DE AERONAVES,
120,,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,
121,,LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES,
122,,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",
123,,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",
137,,"PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR",
145,,AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS,
999,,PASSAGEM AÉREA - RPA,
